Name,Spend,Pareto
rich13 inc.,1850867900.1,2.58205 %
damsel7 inc.,1720797387,4.98264 %
suffices1 inc.,862200446.85,6.18544 %
unbaptized16 inc.,704919283.4,7.16884 %
nerviest3 inc.,697396742.7,8.14174 %
yearnings8 inc.,634643845.5,9.02710 %
tousled9 inc.,616982775.1,9.88782 %
cradle6 inc.,581985677.25,10.69971 %
polluted inc.,504936078.9,11.40412 %
distorters8 inc.,501188248.9,12.10330 %
caulked16 inc.,471943168.9,12.76168 %
quests14 inc.,450121801.2,13.38962 %
bombasted6 inc.,449603962.5,14.01684 %
attests1 inc.,441921656.55,14.63334 %
conjuring15 inc.,411330818.4,15.20717 %
queuing14 inc.,359848666.6,15.70917 %
equipping11 inc.,337835386.65,16.18047 %
innovated15 inc.,317714482.35,16.62370 %
degauss4 inc.,304245275.4,17.04813 %
causal11 inc.,289307430.3,17.45173 %
gloriously11 inc.,286149233.8,17.85092 %
tangling6 inc.,282586503.27,18.60606 %
dogmatist4 inc.,281114901.6,18.63725 %
diet1 inc.,264898924.35,19.00680 %
priests4 inc.,261656283,19.37182 %
proofed7 inc.,257178946.3,19.73060 %
droppers10 inc.,246679020.9,20.07473 %
folk6 inc.,238405753.2,20.40731 %
dray2 inc.,229839990.3,20.72795 %
penalizes1 inc.,226366332.4,21.04374 %
unused16 inc.,223415110.2,21.35541 %
chiselling16 inc.,220057133.55,21.66240 %
curdled16 inc.,213681034.05,21.96050 %
proceed12 inc.,209483437.5,22.25274 %
meeter12 inc.,201132200.8,22.53333 %
holocaust1 inc.,186862707.75,22.79401 %
devastate11 inc.,179264636.4,23.04409 %
bides7 inc.,177201575.85,23.29130 %
rocs9 inc.,177109418.25,23.53837 %
calipered2 inc.,176676569.1,23.78484 %
periodic13 inc.,176653070.6,24.03128 %
shovel6 inc.,171455218.4,24.27047 %
stalled9 inc.,170220934.1,24.50794 %
critiqued4 inc.,155674226.6,24.72511 %
calvinist8 inc.,155301604.4,24.94176 %
neuter10 inc.,153176236.2,25.15545 %
obstacles13 inc.,151530164.7,25.36684 %
decree5 inc.,150371924.4,25.57662 %
strongly7 inc.,148054643,25.78316 %
sloshed16 inc.,147185585.61,37.51616 %
directness4 inc.,146782605,25.98793 %
haircloth7 inc.,141802734,26.18575 %
stabler5 inc.,139833093.9,26.38082 %
habitude10 inc.,137612398.1,26.57280 %
dreamers1 inc.,123775373.25,26.74547 %
uninvited15 inc.,122364807,26.91617 %
fighters15 inc.,120995593.65,27.08497 %
abase9 inc.,119907955.2,27.25225 %
arboretum11 inc.,118157291.4,27.41708 %
trill5 inc.,117220847.25,27.58061 %
terseness11 inc.,111034951.7,27.73551 %
bitch4 inc.,110930226.6,27.89026 %
upheaval13 inc.,110465465.2,28.04437 %
duodecimo15 inc.,109825412.3,28.19758 %
perfectly11 inc.,109570774.2,28.35043 %
calomel5 inc.,109083082.95,28.50261 %
lebanon8 inc.,108430273.8,28.65387 %
docile5 inc.,108288852.8,28.80494 %
egoistic1 inc.,103685317.35,28.94959 %
unfrock3 inc.,103512488.9,29.09399 %
flywheel3 inc.,102669691.8,29.23722 %
muscatels11 inc.,101140948.5,29.37832 %
popinjay1 inc.,100815686.4,29.51896 %
pelting12 inc.,100461485.25,29.65911 %
bathe9 inc.,100068235.4,29.79871 %
except1 inc.,99271279.1,29.93720 %
flophouse4 inc.,99121079.1,30.07547 %
sharks13 inc.,98871877.95,30.21341 %
language1 inc.,97669734.6,30.34966 %
exchanged inc.,95994631.95,30.48358 %
yeastier8 inc.,95374598.1,30.61663 %
leavens8 inc.,95116814.1,30.74932 %
soporifics16 inc.,94788063.4,30.88155 %
postdated1 inc.,94144386.9,31.01289 %
slowed14 inc.,93742074,31.14366 %
smother14 inc.,92882034.45,31.27324 %
snakebite inc.,92560103.7,31.40236 %
yearlong2 inc.,92414149.4,31.53129 %
rotund3 inc.,91448018.45,31.65886 %
drape15 inc.,90542325.6,31.78517 %
housewives9 inc.,89393204.3,31.90988 %
benzine6 inc.,89087984.9,32.03416 %
tetrads11 inc.,87905129.9,32.15679 %
exorcisers15 inc.,87266373.9,32.27853 %
garnished16 inc.,85627520.7,32.39799 %
jaggedly1 inc.,85069580.9,32.51666 %
ping6 inc.,84984425.55,32.63522 %
poltroon5 inc.,84197547.9,32.75268 %
impaneled8 inc.,83988819.6,32.86985 %
bethought7 inc.,83577999.3,32.98644 %
unmatched13 inc.,82782233.9,33.10193 %
pressing11 inc.,82319928.3,33.21677 %
cheatingly13 inc.,82122156,33.33133 %
salvia5 inc.,80664631.6,33.44386 %
past10 inc.,80247676.5,33.55581 %
settling16 inc.,80142963.45,33.66761 %
scythe15 inc.,78890910.2,33.77767 %
bronze6 inc.,77508737.7,33.88580 %
calamity10 inc.,77082311.25,33.99333 %
amateurs7 inc.,76978870.9,34.10072 %
logicians12 inc.,76546773.54,36.72266 %
hogged16 inc.,75118032.45,34.20551 %
roaring12 inc.,74587479.6,34.30957 %
solid1 inc.,73282452.45,34.41180 %
nebbishes2 inc.,72957405.8,34.51358 %
steenboks16 inc.,72651425.7,34.61493 %
